CAPA high-level description,CAPAs granulated description,Level,Practice area
"Using statistical and other quantitative techniques, determine or predict achievement of quality and process performance objectives.",Analyze the variation and stability of the selected processes and address deficiencies.,,
,Implement actions needed to address deficiencies in achieving quality and process performance objectives.,,
,Use validated process performance models calibrated with data to assess progress toward achieving quality and process performance objectives.,,
,Identify and manage risks associated with achieving quality and process performance objectives.,,
,"Record and communicate the results of the analysis, decisions, and actions identified.",,
"Using statistical and other quantitative techniques, ensure that business objectives are aligned with business strategy and performance.",Evaluate and update business objectives periodically and on an event driven basis to ensure that they align with business strategies.,Level 5,
,Compare business objectives with baselines and process performance predictions to ensure the objectives are realistic.,,
,Prioritize business objectives based on recorded criteria.,,
,Maintain quality and process performance objectives to address changes in business objectives.,,
,Revise measures to align with quality and process performance objectives.,,
,"Communicate changes to business strategies, business objectives, and quality and process performance objectives to stakeholders.",,
Analyze performance data using statistical and other quantitative techniques to determine the organization’s ability to satisfy selected business objectives and identify potential areas for performance improvement.,"Periodically and on an event-driven basis, compare quality and process performance objectives to current process performance baselines and models to evaluate and predict the organization’s ability to satisfy business objectives.",,
,Identify shortfalls where performance is not satisfying business objectives.,,
,Identify potential improvement areas based on the analysis of performance shortfalls.,,
,Communicate results and develop a list of improvement proposals.,,
"Select and implement improvement proposals, based on the statistical and quantitative analysis of the expected effect of proposed improvements on meeting business, quality, and process performance objectives.",Use process performance models to predict process performance based on proposed improvements.,,
,Run pilots to determine preliminary process performance based on proposed improvements.,,
,Run tests for statistical significance of modeled or piloted results.,,
,Analyze the costs and benefits of proposed improvements.,,
,Identify potential barriers and risks to deploying each proposed improvement.,,
,Record the evaluation results,,
,Determine and record the validation method that will be used before broad-scale deployment of the change.,,
,Submit the selected proposals for implementation.,,
"Develop a support structure to provide process guidance, identify and fix process problems, and continuously improve processes.",Identify and provide a structure along with responsibility to coordinate process related activities.,Level 1,PROCESS MANAGEMENT
Appraise the current process implementation and identify strengths and weaknesses.,Obtain sponsorship and support for the appraisal from senior management.,,
,Define the scope of the appraisal.,,
,Select or define the criteria and method for the appraisal.,,
,Plan and schedule the appraisal.,,
,Perform the appraisal.,,
,Record and communicate the appraisal findings.,,
Address improvement opportunities or process issues.,Assign relevant personnel to address the improvement opportunities and process issues.,,
,Identify and record the action items to address improvement opportunities and process issues.,,
,Address the opportunities and issues and communicate the results.,,
Identify improvements to the processes and process assets.,Identify issues and opportunities.,Level 2,
,Group and analyze proposed improvements.,,
,Record and keep updated criteria for selecting improvements.,,
,"Select proposed improvements for implementation, deployment and execution.",,
,Review selections with affected stakeholders.,,
,Record proposed improvements and communicate results.,,
"Develop, keep updated, and follow plans for implementing selected process improvements.",Select performance improvements to be deployed.,,
,Develop the plan based on the identified process improvements and review with stakeholders.,,
,"Ensure that the deployment is announced, well-coordinated, and supported.",,
,"Manage progress, review with stakeholders, and update plans as needed.",,
,Develop or update process assets.,,
,Pilot the identified process improvements.,,
,Deploy the improvements.,,
,Analyze and communicate the results of the deployed improvements.,,
,Record improvement results.,,
"Develop, keep updated, and use process improvement objectives traceable to the business objectives.","Identify, record, keep updated, use, and communicate improvement objectives with affected stakeholders.",Level 3,
,Trace the improvement objectives to the business objectives.,,
,Process improvement needs and objectives that are traced to business objectives,,
Identify processes that are the largest contributors to meeting business objectives.,"Review the current business model, business objectives, and business environment.",,
,Review potential internal or external business changes.,,
,Identify and record the relationships between the objectives and processes.,,
,Estimate the value of each process’s contribution to achieving objectives.,,
,"Record, keep updated, and communicate the results to affected stakeholders.",,
"Explore and evaluate potential new processes, techniques, methods, and tools to identify improvement opportunities.","Identify, research, and record improvements.",,
,Use established criteria to decide what documents and measures are critical enough to include in the organization’s process asset library (PAL) for use with other or future work efforts.,,
,Analyze and evaluate potential process improvement opportunities.,,
,"Record, keep updated, and communicate the results to affected stakeholders.",,
"Provide support for implementing, deploying, and sustaining process improvements.",Identify the mechanisms needed to support process implementation and deployment.,,
,Ensure that implementation and deployment activities are planned and coordinated.,,
,Align multiple improvement activities.,,
,"Obtain senior management commitment to visibly and actively support implementation, deployment, and sustainment of the process.",,
,Provide a migration approach from current to newly deployed processes.,,
,"Provide records about the success, issues, obstacles, and progress of the supporting activities.",,
Deploy organizational standard processes and process assets.,Ensure that sufficient support for the deployment is available.,,
,Identify work efforts for deployment of processes and assets.,,
,Coordinate the deployment of improved processes with other improvement efforts.,,
,Deploy the organizational set of standard process and the organizational process assets to identified work efforts.,,
,Monitor the deployment of improvements using deployment plans.,,
,Review results of objective evaluations.,,
,"Identify, record, and track to closure issues related to implementing the organization’s set of standard processes.",,
,Review the deployment results with stakeholders,,
Evaluate effectiveness of deployed improvements in achieving process improvement objectives.,"Analyze current improvement results against business, process, and performance improvement objectives and determine effectiveness of improvements.",,
,Record the results and communicate with affected stakeholders.,,
,Initiate and track to closure necessary corrective actions.,,
"Validate selected performance improvements against proposed improvement expectations, business objectives, or quality and process performance objectives using statistical or other quantitative techniques.",Plan the validation.,Level 4,
,Review validation plans with affected stakeholders.,,
,Perform each validation in accordance with the plan and record results.,,
,Use statistical or other quantitative methods to analyze the results of the validation.,,
,"Review, record and communicate the results of validation analysis.",,
Develop process assets to perform the work.,Record work instructions.,Level 1,PROCESS ASSET DEVELOPMENT
Determine what process assets will be needed to perform the work.,Identify process assets needed for the work effort.,Level 2,
"Develop, buy, or reuse process assets.","Select which assets will be subject to a build, buy, or reuse analysis.",,
,"Perform build, buy, or reuse analyses to determine the best option of various selected assets.",,
,Record results of analyses.,,
,"Build, buy, or reuse the indicated assets.",,
Make process assets available.,Make assets available for use by work efforts.,,
,Communicate the availability of assets for use.,,
"Develop, keep updated, and follow a strategy for building and updating process assets.",Develop a strategy for building and updating process assets.,Level 3,
"Develop, record, and keep updated a process architecture that describes the structure of the organization’s processes and process assets.",Identify process requirements.,,
,Identify process architecture objectives.,,
,Develop and record the format of the process architecture.,,
,"Develop, record, and keep updated the process architecture.",,
,Review and update process architecture with affected stakeholders.,,
,Communicate and make process architecture available.,,
"Develop, keep updated, and make processes available for use.",Verify that the organization’s set of standard processes are aligned with strategic process needs and objectives.,,
,"Assign responsibilities for acquiring, developing, and maintaining process assets.",,
,Review and decide if recommendations resulting from process improvements should be incorporated into the organization’s processes.,,
,Develop organizational standards for assets.,,
,Record process action plans.,,
,Track progress and commitments against process action plans.,,
,Establish process action teams to implement actions.,,
,Build and record assets.,,
,Perform reviews on the organization’s set of standard processes.,,
,Revise the organization’s set of standard processes as necessary.,,
,Make processes available.,,
"Develop, keep updated, and make tailoring criteria and guidelines for the set of standard processes available for use.",Specify selection criteria and procedures for tailoring the organization’s set of standard processes.,,
,Specify the standards used to record defined processes.,,
,Specify the procedures used to submit and obtain approval of waivers from the organization’s set of standard processes.,,
,"Record, approve, and communicate tailoring guidelines for the organization’s set of standard processes.",,
,Revise tailoring guidelines as necessary.,,
"Develop, keep updated, and make the organization’s process asset library available for use.",Design and implement the organization’s process asset library.,,
,Specify criteria for including assets in the library.,,
,"Specify procedures for storing, updating, and retrieving assets.",,
,Enter selected assets into the library and catalog them for easy reference and retrieval.,,
,Make assets available for use by work efforts.,,
,Periodically review the usefulness of the assets.,,
"Develop, keep updated, and make work environment standards available for use.",Evaluate commercially available work environment standards.,,
,"Adopt, develop, or tailor work environment standards to fill gaps based on the organization’s process needs and objectives.",,
,Periodically analyze the work environment to identify changes or resources that could improve work performance.,,
,Prioritize potential improvements to the work environment.,,
,Identify resources that could improve performance.,,
,Ensure work efforts have the authority to organize and tailor their work environments to best support their business activities.,,
,Review work environments with work efforts.,,
"Develop, keep updated, and make organizational measurement and analysis standards available for use.",Specify organizational standards for measurement and analysis.,,
,Specify tailoring guidelines for applying measurement standards to individual work efforts.,,
Record requirements.,Record the requirements.,Level 1,REQUIREMENTS DEVELOPMENT AND MAINTENANCE
"Elicit stakeholder needs, expectations, constraints, and interfaces or connections.","Elicit stakeholder needs, expectations, constraints, and interfaces or connections.",Level 2,
"Transform stakeholder needs, expectations, constraints, and interfaces or connections into prioritized customer requirements.","Translate stakeholder needs, expectations, constraints, and interfaces or connections into recorded customer requirements.",,
,"Develop, record, and keep updated a prioritization of customer requirements.",,
Develop an understanding with the requirements providers on the meaning of the requirements.,Develop criteria for identifying appropriate requirements providers.,,
,Develop criteria for the evaluation and acceptance of requirements.,,
,Analyze requirements to ensure that established criteria are met.,,
,Reach an understanding of and obtain commitments to requirements with the requirements providers and the work effort participants.,,
,Record needed changes to requirements.,,
Obtain commitment from work effort participants that they can address the requirements.,Assess the impact of requirements on existing commitments.,,
,Negotiate and record commitments.,,
"Develop, record, and maintain bidirectional traceability among requirements, activities, and work products.","Develop, record, and keep updated bidirectional requirements traceability.",,
"Ensure that plans, activities, and work products remain consistent with requirements.","Review plans, activities, and work efforts for consistency with requirements and changes made to them.",,
,Record inconsistencies and their sources.,,
,Initiate and record any necessary corrective actions and communicate results to affected stakeholders.,,
Develop and keep requirements updated for the solution and its components in accordance with the organizational process.,"Develop, record, and keep updated requirements in technical terms necessary for solution and solution component design.",Level 3,
,"Derive, record, and keep updated requirements that result from solution selections and design decisions.",,
,Record and keep updated bidirectional traceability.,,
,Record and keep updated prioritization of requirements.,,
,Record and keep updated nontechnical requirements.,,
,"Identify, record, and keep updated requirements for external and internal interfaces or connections.",,
Develop operational concepts and scenarios.,"Develop, record, and keep updated operational concepts and scenarios.",,
,Review operational concepts and scenarios with affected stakeholders to refine and discover requirements.,,
Allocate the requirements to be implemented.,"Allocate, record, and keep updated requirements.",,
,Record and keep updated relationships among allocated requirements.,,
,Review requirements allocations and relationships with affected stakeholders.,,
"Identify, develop, and keep updated interface or connection requirements.","Identify, record, and keep updated, internal and external interface or connection requirements.",,
,Review interface or connection requirements for coverage and completeness with affected stakeholders and record results.,,
Ensure that requirements are necessary and sufficient.,Perform a requirements analysis to determine if requirements are necessary and sufficient.,,
,Review analysis results with stakeholders.,,
,Update requirements based on review results.,,
Balance stakeholder needs and constraints.,Analyze requirements to ensure that they balance stakeholder needs and constraints.,,
,"Review, analyze and negotiate requirements tradeoffs with customers and stakeholders",,
,Record and keep updated proposed requirements changes and communicate with affected stakeholders.,,
Validate requirements to ensure the resulting solution will perform as intended in the target environment.,Identify and select validation techniques.,,
,Validate the requirements using selected techniques and record results.,,
,Review and communicate validation results with stakeholders.,,
,Update requirements.,,
Identify and address process and work product issues.,Identify issues.,Level 1,PROCESS QUALITY ASSURANCE
,Record issues.,,
,Resolve issues.,,
"Develop, keep updated, and follow a quality assurance approach and plan based on historical quality data.","Develop, record, and keep updated the quality approach and plan.",Level 2,
,Identify areas for evaluation.,,
,"Review, update, and approve the approach with affected stakeholders.",,
"Throughout the work effort, objectively evaluate selected performed processes and work products against the recorded process.",Develop and keep updated clearly stated criteria for evaluations.,,
,"Develop and keep updated checklists based on process descriptions, standards, and procedures",,
,"Use the defined criteria and checklists to evaluate if selected performed processes follow process descriptions, standards, and procedures.",,
,Identify and record each noncompliance found during the evaluation.,,
,Identify and record best practices that can be leveraged in other parts of the organization.,,
Communicate quality and non-compliance issues and ensure their resolution.,Communicate and resolve each noncompliance issue.,,
,Escalate noncompliance issues when they cannot be dissolved.,,
,Analyze noncompliance issues to identify quality trends.,,
,Ensure affected stakeholders are aware of evaluation results and quality trends.,,
Record and use results of quality assurance activities.,Record and keep updated information about quality assurance activities.,,
Identify and record opportunities for improvement during quality assurance activities.,Record potential improvements observed during quality assurance activities.,Level 3,
,Submit improvement proposals.,,
Perform verification to ensure the requirements are implemented and record and communicate results.,Perform the verification of selected work products and solutions against their requirements.,Level 1,VERIFICATION AND VALIDATION
,Record and communicate the results of verification activities.,,
,Identify action items resulting from verification.,,
Perform validation to ensure the solution will function as intended in its target environment and record and communicate results.,Validate selected work products and solutions with stakeholders throughout the lifecycle to ensure they function as intended in their target environment.,,
,Analyze and communicate the results of validation activities.,,
Select components and methods for verification and validation.,Select solution components for verification and validation.,Level 2,
,Identify requirements to be satisfied by each selected work product.,,
,Determine which customer requirements and end user needs will be validated.,,
,"Define, record, and keep updated verification and validation methods to be used for each selected solution.",,
,Develop and keep updated verification and validation procedures and criteria for selected components.,,
"Develop, keep updated, and use the environment needed to support verification and validation.",Identify requirements for the verification and validation environment.,,
,Identify customer supplied solutions and components.,,
,"Identify verification and validation resources, equipment, and tools.",,
,"Develop or acquire, and keep updated the verification and validation environments.",,
"Develop, keep updated, and follow procedures for verification and validation.",Develop and keep updated procedures for verification and validation.,,
,Perform verification and validation in accordance with the procedures.,,
"Develop, keep updated, and use criteria for verification and validation.",Develop verification and validation criteria and refine them as work progresses.,Level 3,
Analyze and communicate verification and validation results.,Compare actual results to expected results.,,
,Identify the results that do not meet established criteria for verification.,,
,Identify the results that do not meet established criteria for validation.,,
,Analyze verification and validation results that do not meet established criteria and determine corrective actions.,,
,Submit improvement proposals where improvements to verification and validation process are identified.,,
,Record and communicate analysis results and corrective actions to affected stakeholders.,,
Perform reviews of work products and record issues.,Review work products to identify issues.,Level 1,PEER REVIEWS
,Record results.,,
Develop and keep updated procedures and supporting materials used to prepare for and perform peer reviews.,Record and keep updated peer review procedures.,Level 2,
,Record and keep updated related supporting materials.,,
Select work products to be peer reviewed.,Evaluate the criticality of the work product.,,
,Determine and record the review type to use.,,
Prepare and perform peer reviews on selected work products using established procedures.,Develop schedule.,,
,Follow procedures.,,
,Record results.,,
,Communicate results to affected stakeholders.,,
Resolve issues resulting from peer reviews,Resolve issues.,,
,Record resolutions and results and communicate to affected stakeholders.,,
Analyze results from peer reviews.,Analyze peer review results.,Level 3,
,Record and communicate analysis results.,,
Train people.,Identify people who will receive the training.,Level 1,ORGANIZATIONAL TRAINING
,Schedule training.,,
,Deliver the training.,,
Identify training needs.,Identify skills and knowledge for each role.,Level 2,
,Record and keep updated skills and knowledge of individuals.,,
,Perform a gap analysis to determine training needs.,,
,Record and communicate training needs.,,
Train personnel and keep records.,Deliver training based on identified training needs,,
,Maintain training records.,,
Develop and keep updated the organization’s strategic and short-term training needs.,Determine the roles and skills needed to perform the organization’s set of standard processes and the work to be performed.,Level 3,
,Determine training needs.,,
,Record and keep updated the prioritized strategic and short-term organization training needs.,,
,Review the organization’s training needs periodically and on an event driven basis and update the needs if required.,,
Coordinate training needs and delivery between the work effort and the organization.,Analyze the training needs identified by work and support groups.,,
,Coordinate with work efforts and support groups to determine how training needs will be addressed.,,
,"Record responsibilities between the organization, work effort, and support groups for delivering training.",,
"Develop, keep updated, and follow organizational strategic and short-term training plans.",Establish the content of the organizational training strategic plan.,,
,Establish the content of the organizational training short-term plan.,,
,"Review plans, establish commitments, and communicate the review results to affected stakeholders.",,
,Revise the plans and commitments as needed.,,
"Develop, keep updated, and use a training capability to address organizational training needs.",Select approaches to satisfy organizational training needs.,,
,Decide whether to develop training internally or to acquire it externally.,,
,Develop or obtain training materials.,,
,"Identify, train, or hire qualified instructors, instructional designers, or mentors.",,
,Describe the training in the organization’s training curriculum.,,
,Review training periodically and on an event-driven basis.,,
,Revise training materials as needed.,,
,Identify and make available resources for delivering the training.,,
,Update the training and development program.,,
,Keep training records updated.,,
,Communicate availability of training,,
Assess the effectiveness of the organization’s training program.,Assess the effectiveness of each training course.,,
,Assess the effectiveness of the training programs,,
"Record, keep updated, and use the set of organizational training records.",Keep and use records of all participants.,,
,Keep and use records of all personnel who are waived from training.,,
,Keep and use records of the training course and program effectiveness,,
,Make training records available to the appropriate people for consideration in assignments.,,
Develop and record the supplier agreement.,Develop and record a supplier agreement.,Level 1,SUPPLIER AND AGREEMENT MANAGEMENT
,Reach agreement with supplier.,,
Accept or reject the solution.,Accept or reject the solution.,,
Pay supplier invoices.,Pay supplier invoices.,,
"Develop, record, monitor, and maintain the supplier agreement.",Record the supplier agreement and keep it updated.,Level 2,
,Verify that all parties to the agreement understand and agree to all requirements by approving the supplier agreement.,,
,Communicate the supplier agreement within the acquiring organization as required.,,
Perform activities as specified in the supplier agreement.,"Monitor supplier progress and performance (e.g., schedule, effort, cost, technical) as defined in the supplier agreement.",,
,Conduct agreement reviews with the supplier as specified in the supplier agreement.,,
,Conduct technical reviews with the supplier as defined in the supplier agreement.,,
,Conduct management reviews with the supplier as specified in the supplier agreement.,,
,Record results of the reviews and interactions.,,
Verify that the supplier agreement is satisfied before accepting the acquired solution.,Define the acceptance procedures to verify the supplier agreement is satisfied.,,
,Review and obtain agreement from relevant stakeholders on the acceptance procedures before the acceptance review.,,
,Verify that the acquired solution satisfies the supplier agreement.,,
,Confirm that all agreed-upon contractual requirements for the acquired solution are satisfied.,,
,Communicate to affected stakeholders that the supplier agreement has been satisfied.,,
Manage invoices submitted by the supplier to ensure supplier agreements are met.,Receive invoices.,,
,Review invoices and related supporting material with authorized representative for accuracy.,,
,Resolve errors and manage issues with the supplier as required.,,
,Approve and pay invoices.,,
,Archive and store invoices and payment records,,
Select supplier technical solutions to be analyzed and conduct technical reviews.,Develop criteria for determining which supplier technical solutions to analyze.,Level 3,
,Identify supplier technical solutions for analysis.,,
,Identify the functional and quality attribute requirements to be satisfied by each selected technical solution.,,
,Identify the analysis methods to be used for each selected technical solution.,,
,Include analysis methods and review activities in the work plan.,,
,Confirm that the selected technical solution adheres to applicable standards and criteria.,,
,Confirm that the selected technical solution adheres to allocated functional and quality attribute requirements.,,
,Use analysis results to compare actual performance measurements to specified thresholds of technical performance measures.,,
,Review critical verification results and data from verifications performed by the supplier.,,
,Identify interfaces or connections that are candidates for acquirer management.,,
,Review identified interfaces or connections against the selection criteria and include in work plan.,,
,Confirm the compatibility of selected interfaces or connections throughout the life of the solution.,,
,Verify that interfaces or connections have been sufficiently tested by the supplier.,,
,"Verify that issues identified during testing have been resolved appropriately, with solution revisions, if necessary.",,
,"Resolve conflict, noncompliance, and change issues for the selected interfaces or connections.",,
Select and monitor supplier processes based on criteria in the supplier agreement.,Select and monitor processes used by the supplier as defined in the supplier agreement.,,
,Analyze processes used by the supplier as defined in the supplier agreement and communicate with affected stakeholders.,,
Select measures and analytic techniques to quantitatively manage supplier performance to achieve quality and process performance objectives.,Identify key supplier quality and process performance objectives.,Level 4,
,Identify key performance measures to monitor supplier progress and performance using statistical and other quantitative techniques.,,
,Collect data from supplier and perform the analysis.,,
,Record results of analysis and communicate with stakeholders.,,
,Identify corrective action to supplier.,,
,Monitor corrective action to closure.,,
Senior management identifies what is important for doing the work and defines the approach needed to accomplish the objectives of the organization.,"Senior management decides what is important for improvement, sets the approach, and communicates the results.",Level 1,GOVERNANCE
,Identification of importance of and approach to improvement,,
,Records of reviews and communications,,
"Senior management defines, keeps updated, and communicates organizational directives for process implementation and improvement based on organization goals, needs, and objectives.",Senior management defines organizational directives based on guiding principles.,Level 2,
,Senior management reviews and refines process implementation and improvement objectives to ensure alignment with the guiding principles.,,
,Senior management communicates improvement directives.,,
,Senior management reviews and updates improvement directives on a periodic or on an event-driven basis.,,
"Senior management ensures resources are provided for developing, supporting, performing, improving, and evaluating adherence to expected processes.","Senior management approves and provides the funding and resources needed to develop, perform, improve, and monitor the process.",,
,"Senior management reviews, revises, and communicates assignment of needed funding, personnel and resources to develop, perform, improve, and monitor the process.",,
,Senior management reviews and refines the allocation of budget and resources.,,
"Senior management identifies their information needs, and uses the collected information to provide governance and oversight of effective process implementation and improvement.","Senior management identifies and keeps up to date their information needs related to process capability, improvement, and performance objectives.",,
,Senior management ensures that measures supporting the organization’s goals and objectives are defined.,,
,"Senior management reviews activities, accomplishments, status, and results of the process implementation and improvement activities.",,
,Senior management oversees updates to the process implementation and improvement plans.,,
,Senior management oversees the appropriate integration of measurement and analysis activities into all organization processes.,,
Senior management holds people accountable for adhering to organization policies and achieving process implementation and improvement objectives.,"Senior management reviews issues and trends related to deploying, implementing, performing, and improving the organization’s processes.",,
,"Senior management directs corrective actions when:
• The organization’s objectives are not being met
• Issues are identified
• Implementation and improvement progress differs from the plans",,
,Senior management provides incentives for improvement.,,
"Senior management ensures that measures supporting goals and objectives throughout the organization are collected, analyzed, and used.","Senior Management ensures measures are collected, analyzed, and used.",Level 3,
,"Senior Management directs corrective actions related to collecting, analyzing, and using measures.",,
,Updated organizational measurement repository,,
,"Status reports, actions, and decisions",,
,"Updated organizational directives, goals, and objectives",,
Senior management ensures that competencies and processes are aligned with the goals and objectives of the organization.,"Review the status of competencies, goals and objectives, and processes.",,
,Record and communicate results.,,
Senior management ensures that selected decisions are driven by statistical and quantitative analysis related to performance and achievement of goals and quality and process performance objectives.,"Review and discuss strategy, process, and progress.",Level 4,
,Record and communicate results.,,
Perform processes that address the intent of the Level 1 practices.,Perform processes.,Level 1,IMPLEMENTATION INFRASTRUCTURE
"Provide sufficient resources, funding, and training for developing processes and ensuring adherence to them.",Identify needed resources.,Level 2,
,Determine budget.,,
,Provide funding.,,
,Develop or buy tools.,,
,Develop training materials.,,
,Provide training.,,
"Develop, keep updated, and verify that processes are being followed.",Identify process purpose.,,
,Decide process description format.,,
,Describe and record processes.,,
,Perform processes.,,
,Ensure that processes are being followed.,,
,Review and update recorded processes with affected stakeholders.,,
,Communicate and make recorded processes available.,,
"Use organizational processes and process assets to plan, manage, and perform the work.",Plan work using organizational process assets.,Level 3,
,Manage work using organizational process assets.,,
,Perform work following organizational process assets.,,
Evaluate the adherence to and effectiveness of the organizational processes.,Evaluate processes for effectiveness and usefulness.,,
,Analyze process performance measurement results.,,
,"Examine results of evaluations, appraisals, or audits.",,
,Record and communicate results to affected stakeholders.,,
,Submit improvement proposals.,,
Contribute process related information or process assets to the organization.,"Collect and record best practices, lessons learned and information from tailoring the processes.",,
,Submit assets for potential inclusion in the organization’s process asset library.,,
,Propose improvements to the organizational process assets.,,